Item,TIME_PERIOD,FREQ,TYPE,Item_VALUE
總指數(指數基期：民國110年=100),1988M02,M,年增率(%),0.35
總指數(指數基期：民國110年=100),1988M03,M,原始值,57.19
總指數(指數基期：民國110年=100),1988M03,M,年增率(%),0.58
總指數(指數基期：民國110年=100),1988M04,M,原始值,57.26
總指數(指數基期：民國110年=100),1988M04,M,年增率(%),0.35
總指數(指數基期：民國110年=100),1988M05,M,原始值,57.91
總指數(指數基期：民國110年=100),1988M05,M,年增率(%),1.47
總指數(指數基期：民國110年=100),1988M06,M,原始值,58.26
總指數(指數基期：民國110年=100),1988M06,M,年增率(%),2.01
總指數(指數基期：民國110年=100),1988M07,M,原始值,58.26
總指數(指數基期：民國110年=100),1988M07,M,年增率(%),0.85
總指數(指數基期：民國110年=100),1988M08,M,原始值,59.09
總指數(指數基期：民國110年=100),1988M08,M,年增率(%),1.46
總指數(指數基期：民國110年=100),1988M09,M,原始值,59.28
總指數(指數基期：民國110年=100),1988M09,M,年增率(%),1.42
總指數(指數基期：民國110年=100),1988M10,M,原始值,59.7
總指數(指數基期：民國110年=100),1988M10,M,年增率(%),3.06
總指數(指數基期：民國110年=100),1988M11,M,原始值,59.39
總指數(指數基期：民國110年=100),1988M11,M,年增率(%),2.24
總指數(指數基期：民國110年=100),1988M12,M,原始值,59.34
總指數(指數基期：民國110年=100),1988M12,M,年增率(%),1.11
總指數(指數基期：民國110年=100),1989M01,M,原始值,59.34
總指數(指數基期：民國110年=100),1989M01,M,年增率(%),2.77
總指數(指數基期：民國110年=100),1989M02,M,原始值,59.86
總指數(指數基期：民國110年=100),1989M02,M,年增率(%),4.09
總指數(指數基期：民國110年=100),1989M03,M,原始值,60.01
總指數(指數基期：民國110年=100),1989M03,M,年增率(%),4.93
總指數(指數基期：民國110年=100),1989M04,M,原始值,60.54
總指數(指數基期：民國110年=100),1989M04,M,年增率(%),5.73
總指數(指數基期：民國110年=100),1989M05,M,原始值,60.99
總指數(指數基期：民國110年=100),1989M05,M,年增率(%),5.32
總指數(指數基期：民國110年=100),1989M06,M,原始值,60.83
總指數(指數基期：民國110年=100),1989M06,M,年增率(%),4.41
總指數(指數基期：民國110年=100),1989M07,M,原始值,60.54
總指數(指數基期：民國110年=100),1989M07,M,年增率(%),3.91
